vendor_id,num_passengers,tip,price,dropoff_time,pickup_time,distance
1,1,0.0,9.8,2018-11-01 00:12:08,2018-11-01 00:02:49,1.8
2,1,0.0,6.3,2018-11-01 00:07:00,2018-11-01 00:02:51,0.86
2,1,3.66,21.96,2018-11-01 00:25:44,2018-11-01 00:02:57,3.53
2,3,0.0,18.3,2018-11-01 00:19:12,2018-11-01 00:02:58,4.73
2,3,0.0,5.8,2018-11-01 00:07:43,2018-11-01 00:02:59,0.25
1,1,0.95,5.75,2018-11-01 00:05:22,2018-11-01 00:03:03,0.4
2,1,0.0,6.3,2018-11-01 00:08:44,2018-11-01 00:03:06,0.35
2,2,0.0,34.3,2018-11-01 00:41:12,2018-11-01 00:03:12,9.98
2,2,0.0,10.3,2018-11-01 00:12:33,2018-11-01 00:03:22,2.16
1,1,2.0,12.3,2018-11-01 00:12:36,2018-11-01 00:03:22,1.8
2,1,0.0,8.8,2018-11-01 00:12:29,2018-11-01 00:03:24,1.05
1,1,1.65,9.95,2018-11-01 00:08:46,2018-11-01 00:03:28,1.7
2,1,1.36,8.16,2018-11-01 00:08:53,2018-11-01 00:03:28,0.89
2,2,0.0,47.3,2018-11-01 00:52:00,2018-11-01 00:03:29,13.91
1,1,1.85,11.15,2018-11-01 00:15:08,2018-11-01 00:03:32,0.1
1,1,2.75,12.05,2018-11-01 00:15:16,2018-11-01 00:03:37,0.5
2,1,1.0,14.8,2018-11-01 00:20:23,2018-11-01 00:03:45,2.17
2,2,0.0,7.3,2018-11-01 00:09:58,2018-11-01 00:03:46,0.84
2,2,1.96,11.76,2018-11-01 00:15:07,2018-11-01 00:03:50,1.38
2,2,4.66,27.96,2018-11-01 00:21:55,2018-11-01 00:03:51,6.64
2,1,3.96,23.76,2018-11-01 00:25:07,2018-11-01 00:03:57,5.36
1,1,2.2,11.0,2018-11-01 00:10:58,2018-11-01 00:03:57,1.8
1,2,2.5,19.8,2018-11-01 00:23:33,2018-11-01 00:03:59,3.9
2,6,0.0,30.8,2018-11-01 00:30:58,2018-11-01 00:04:16,8.91
2,5,2.45,12.25,2018-11-01 00:12:25,2018-11-01 00:04:19,2.0
2,1,9.39,40.69,2018-11-01 00:38:01,2018-11-01 00:04:20,8.42
2,1,4.36,26.16,2018-11-01 00:31:31,2018-11-01 00:04:20,4.95
1,1,0.1,9.9,2018-11-01 00:14:54,2018-11-01 00:04:23,1.2
2,2,2.0,7.3,2018-11-01 00:07:44,2018-11-01 00:04:24,0.27
1,1,0.0,7.3,2018-11-01 00:10:56,2018-11-01 00:04:27,0.9
2,5,5.0,32.8,2018-11-01 00:41:32,2018-11-01 00:04:30,5.38
2,1,0.0,12.3,2018-11-01 00:16:29,2018-11-01 00:04:30,2.68
2,1,5.46,32.76,2018-11-01 00:26:45,2018-11-01 00:04:38,8.31
1,1,4.45,26.75,2018-11-01 00:21:45,2018-11-01 00:04:41,6.6
2,1,1.0,11.8,2018-11-01 00:15:14,2018-11-01 00:04:41,2.08
1,1,0.0,19.8,2018-11-01 00:34:45,2018-11-01 00:04:42,2.1
2,2,6.16,36.96,2018-11-01 00:48:04,2018-11-01 00:04:50,6.28
1,2,0.0,16.8,2018-11-01 00:19:22,2018-11-01 00:04:51,4.3
1,1,0.0,7.8,2018-11-01 00:12:33,2018-11-01 00:04:52,0.4
1,1,2.45,12.25,2018-11-01 00:14:28,2018-11-01 00:04:53,1.7
2,1,3.86,23.16,2018-11-01 00:31:58,2018-11-01 00:04:53,3.09
2,3,3.06,18.36,2018-11-01 00:22:51,2018-11-01 00:04:57,3.03
1,1,0.95,5.75,2018-11-01 00:06:47,2018-11-01 00:05:01,0.4
2,4,7.26,43.56,2018-11-01 00:41:08,2018-11-01 00:05:01,10.06
2,3,0.0,7.3,2018-11-01 00:11:07,2018-11-01 00:05:08,0.88
1,1,0.0,7.3,2018-11-01 00:08:43,2018-11-01 00:05:11,1.5
2,3,2.7,14.0,2018-11-01 00:15:27,2018-11-01 00:05:15,2.18
2,3,2.86,17.16,2018-11-01 00:19:22,2018-11-01 00:05:16,3.1
1,1,0.0,18.3,2018-11-01 00:28:59,2018-11-01 00:05:17,3.5
2,1,3.26,19.56,2018-11-01 00:19:49,2018-11-01 00:05:18,3.91
2,1,4.26,25.56,2018-11-01 00:19:45,2018-11-01 00:05:19,6.41
2,1,2.46,14.76,2018-11-01 00:20:05,2018-11-01 00:05:24,2.09
1,1,1.75,10.55,2018-11-01 00:13:55,2018-11-01 00:05:25,1.3
1,1,0.0,9.3,2018-11-01 00:14:50,2018-11-01 00:05:28,1.6
1,2,8.2,49.26,2018-11-01 00:37:49,2018-11-01 00:05:32,10.7
2,3,0.0,10.3,2018-11-01 00:17:01,2018-11-01 00:05:40,1.43
1,1,1.55,9.35,2018-11-01 00:13:45,2018-11-01 00:05:43,0.6
1,1,2.85,17.15,2018-11-01 00:22:48,2018-11-01 00:05:49,2.9
1,1,2.85,17.15,2018-11-01 00:22:50,2018-11-01 00:05:50,2.8
2,1,2.26,13.56,2018-11-01 00:16:43,2018-11-01 00:05:57,2.33
2,2,1.96,11.76,2018-11-01 00:15:08,2018-11-01 00:06:01,1.77
2,1,1.06,6.36,2018-11-01 00:09:52,2018-11-01 00:06:02,0.23
1,0,0.0,14.3,2018-11-01 00:24:01,2018-11-01 00:06:06,2.8
2,1,0.0,36.8,2018-11-01 00:37:43,2018-11-01 00:06:08,11.58
1,0,0.0,7.3,2018-11-01 00:13:08,2018-11-01 00:06:08,0.7
2,4,3.46,20.76,2018-11-01 00:22:10,2018-11-01 00:06:11,4.37
2,1,4.86,29.16,2018-11-01 00:28:23,2018-11-01 00:06:15,6.93
2,1,0.0,31.3,2018-11-01 00:35:08,2018-11-01 00:06:29,9.45
1,1,0.0,7.3,2018-11-01 00:12:03,2018-11-01 00:06:36,1.0
2,5,0.0,11.8,2018-11-01 00:19:23,2018-11-01 00:06:47,2.41
2,1,1.0,8.3,2018-11-01 00:11:41,2018-11-01 00:06:53,1.32
2,1,3.56,21.36,2018-11-01 00:25:35,2018-11-01 00:06:55,4.37
2,6,0.0,14.8,2018-11-01 00:29:22,2018-11-01 00:06:57,0.56
2,2,0.0,20.3,2018-11-01 00:27:12,2018-11-01 00:07:00,5.1
1,1,5.0,52.8,2018-11-01 00:58:30,2018-11-01 00:07:07,14.3
2,5,0.0,23.56,2018-11-01 00:28:35,2018-11-01 00:07:11,4.3
2,2,3.56,21.36,2018-11-01 00:31:06,2018-11-01 00:07:16,3.32
2,2,2.0,16.3,2018-11-01 00:18:12,2018-11-01 00:07:16,3.73
1,1,0.0,3.8,2018-11-01 00:07:40,2018-11-01 00:07:17,3.7
1,1,3.55,17.85,2018-11-01 00:27:09,2018-11-01 00:07:18,1.5
2,6,0.0,8.3,2018-11-01 00:15:37,2018-11-01 00:07:18,1.56
2,1,1.56,9.36,2018-11-01 00:14:08,2018-11-01 00:07:23,1.15
2,1,2.86,17.16,2018-11-01 00:27:05,2018-11-01 00:07:24,1.77
2,2,2.46,14.76,2018-11-01 00:19:54,2018-11-01 00:07:29,2.68
2,3,0.0,34.3,2018-11-01 00:42:33,2018-11-01 00:07:40,8.74
2,1,3.46,20.76,2018-11-01 00:28:09,2018-11-01 00:07:46,4.11
1,1,0.0,11.3,2018-11-01 00:19:21,2018-11-01 00:07:46,1.8
1,2,0.0,10.8,2018-11-01 00:17:42,2018-11-01 00:07:47,2.3
2,1,1.0,8.8,2018-11-01 00:14:48,2018-11-01 00:07:48,0.87
2,1,0.0,6.3,2018-11-01 00:11:28,2018-11-01 00:07:51,0.98
2,1,2.36,14.16,2018-11-01 00:18:17,2018-11-01 00:07:51,2.79
1,1,10.65,63.95,2018-11-01 00:44:15,2018-11-01 00:07:55,18.6
2,2,1.66,9.96,2018-11-01 00:14:30,2018-11-01 00:07:59,1.64
2,6,2.36,14.16,2018-11-01 00:17:56,2018-11-01 00:08:07,2.96
2,1,0.0,6.8,2018-11-01 00:12:52,2018-11-01 00:08:14,0.83
2,4,0.0,13.8,2018-11-01 00:23:57,2018-11-01 00:08:14,2.84
2,1,0.0,12.3,2018-11-01 00:18:11,2018-11-01 00:08:16,3.03
1,1,0.0,15.3,2018-11-01 00:21:53,2018-11-01 00:08:16,4.2
2,1,2.44,18.74,2018-11-01 00:19:32,2018-11-01 00:08:19,4.44
1,1,2.55,15.35,2018-11-01 00:18:46,2018-11-01 00:08:21,2.9
1,1,2.05,12.35,2018-11-01 00:17:48,2018-11-01 00:08:26,2.0
2,6,1.2,6.0,2018-11-01 00:10:10,2018-11-01 00:08:26,0.41
4,1,2.0,17.3,2018-11-01 00:22:55,2018-11-01 00:08:32,3.87
2,1,1.96,11.76,2018-11-01 00:14:25,2018-11-01 00:08:34,2.32
